model,enter_time_s,class,direction
baseline_count_AA,565.8,keke,downward
baseline_count_AA,566.4,car,downward
baseline_count_AA,567.2,keke,downward
baseline_count_AA,568,car,downward
baseline_count_AA,568.8,truck,downward
baseline_count_AA,569.2,car,downward
baseline_count_AA,570,keke,downward
baseline_count_AA,571.2,keke,downward
baseline_count_AA,572.2,keke,downward
baseline_count_AA,573.4,keke,downward
baseline_count_AA,573.6,bus,downward
baseline_count_AA,574.6,keke,downward
baseline_count_AA,574.6,keke,downward
baseline_count_AA,576.4,keke,downward
baseline_count_AA,577,car,downward
baseline_count_AA,577.4,keke,downward
baseline_count_AA,578,car,downward
baseline_count_AA,578.6,car,downward
baseline_count_AA,579,car,downward
baseline_count_AA,579.6,truck,downward
baseline_count_AA,581.8,keke,downward
baseline_count_AA,581.8,truck,downward
baseline_count_AA,588.6,car,downward
baseline_count_AA,589.6,car,downward
baseline_count_AA,593.2,car,downward
baseline_count_AA,593.2,truck,downward
baseline_count_AA,595.8,car,downward
baseline_count_MA,0,keke,upward
baseline_count_MA,7.2,car,upward
baseline_count_MA,7.6,keke,upward
baseline_count_MA,8,keke,upward
baseline_count_MA,10.6,car,upward
baseline_count_MA,12.8,car,upward
baseline_count_MA,14.2,keke,upward
baseline_count_MA,14.8,keke,upward
baseline_count_MA,16.6,keke,upward
baseline_count_MA,18.8,keke,upward
baseline_count_MA,20.4,truck,upward
baseline_count_MA,22.4,car,upward
baseline_count_MA,24.4,keke,upward
baseline_count_MA,28.6,keke,upward
baseline_count_MA,29,car,upward
baseline_count_MA,29,car,upward
baseline_count_MA,29.8,car,upward
baseline_count_MA,32,keke,upward
baseline_count_MA,35,keke,upward
baseline_count_MA,36,car,upward
baseline_count_MA,36.8,keke,upward
baseline_count_MA,37.8,car,upward
baseline_count_MA,39.2,keke,upward
baseline_count_MA,41.4,truck,upward
baseline_count_MA,41.8,car,upward
baseline_count_MA,42.4,keke,upward
baseline_count_MA,42.4,keke,upward
baseline_count_MA,43.4,keke,upward
baseline_count_MA,43.4,keke,upward
baseline_count_MA,47.4,car,upward
baseline_count_MA,48,keke,upward
baseline_count_MA,52.8,keke,upward
baseline_count_MA,53.4,keke,upward
baseline_count_MA,56.2,car,upward
baseline_count_MA,57.2,car,upward
baseline_count_MA,58.6,truck,upward
baseline_count_MA,59,keke,upward
baseline_count_MA,61.4,car,upward
baseline_count_MA,63.4,keke,upward
baseline_count_MA,67.4,car,upward
baseline_count_MA,69.6,car,upward
baseline_count_MA,71.4,car,upward
baseline_count_MA,74.2,keke,upward
baseline_count_MA,74.8,keke,upward
baseline_count_MA,83.8,keke,upward
baseline_count_MA,85,keke,upward
baseline_count_MA,85.4,keke,upward
baseline_count_MA,87.4,keke,upward
baseline_count_MA,88.2,keke,upward
baseline_count_MA,89,keke,upward
baseline_count_MA,91,keke,upward
baseline_count_MA,92,keke,upward
baseline_count_MA,93.6,car,upward
baseline_count_MA,94.6,keke,upward
baseline_count_MA,95.2,car,upward
baseline_count_MA,95.4,car,upward
baseline_count_MA,98,keke,upward
baseline_count_MA,99.2,keke,upward
baseline_count_MA,102.8,b,upward
baseline_count_MA,103.8,car,upward
baseline_count_MA,106.8,car,upward
baseline_count_MA,107.6,keke,upward
baseline_count_MA,110.2,car,upward
baseline_count_MA,111,car,upward
baseline_count_MA,112.2,keke,upward
baseline_count_MA,115.4,keke,upward
baseline_count_MA,121.2,keke,upward
baseline_count_MA,123.6,car,upward
baseline_count_MA,138.6,keke,upward
baseline_count_MA,141,car,upward
baseline_count_MA,141.8,keke,upward
baseline_count_MA,145.4,keke,upward
baseline_count_MA,145.8,keke,upward
baseline_count_MA,148.6,car,upward
baseline_count_MA,151,b,upward
baseline_count_MA,152,keke,upward
baseline_count_MA,156.2,keke,upward
baseline_count_MA,156.2,car,upward
baseline_count_MA,156.6,keke,upward
baseline_count_MA,159.4,keke,upward
baseline_count_MA,159.4,keke,upward
baseline_count_MA,162.2,keke,upward
baseline_count_MA,164,keke,upward
baseline_count_MA,164.4,car,upward
baseline_count_MA,167.8,car,upward
baseline_count_MA,167.8,car,upward
baseline_count_MA,168.2,keke,upward
baseline_count_MA,168.6,car,upward
baseline_count_MA,169,keke,upward
baseline_count_MA,171.4,keke,upward
baseline_count_MA,173,car,upward
baseline_count_MA,175.2,car,upward
baseline_count_MA,177.8,keke,upward
baseline_count_MA,178.4,keke,upward
baseline_count_MA,181,keke,upward
baseline_count_MA,181.6,truck,upward
baseline_count_MA,183.2,keke,upward
baseline_count_MA,183.6,keke,upward
baseline_count_MA,184.4,car,upward
baseline_count_MA,186,keke,upward
baseline_count_MA,186.4,keke,upward
baseline_count_MA,186.4,keke,upward
baseline_count_MA,188.4,truck,upward
baseline_count_MA,192.8,car,upward
baseline_count_MA,193.6,keke,upward
baseline_count_MA,194.6,truck,upward
baseline_count_MA,196.6,keke,upward
baseline_count_MA,196.6,car,upward
baseline_count_MA,200.4,car,upward
baseline_count_MA,200.4,keke,upward
baseline_count_MA,202,keke,upward
baseline_count_MA,202.6,b,upward
baseline_count_MA,203,car,upward
baseline_count_MA,205,car,upward
baseline_count_MA,205,car,upward
baseline_count_MA,203.2,car,upward
baseline_count_MA,208.6,car,upward
baseline_count_MA,209.8,keke,upward
baseline_count_MA,210.8,truck,upward
baseline_count_MA,213.8,keke,upward
baseline_count_MA,213.8,keke,upward
baseline_count_MA,214,car,upward
baseline_count_MA,216.4,keke,upward
baseline_count_MA,217.8,keke,upward
baseline_count_MA,224.2,keke,upward
baseline_count_MA,227.4,car,upward
baseline_count_MA,229.6,keke,upward
baseline_count_MA,230.2,truck,upward
baseline_count_MA,233.8,keke,upward
baseline_count_MA,235,car,upward
baseline_count_MA,237.2,car,upward
baseline_count_MA,238.6,keke,upward
baseline_count_MA,239.2,keke,upward
baseline_count_MA,243.2,car,upward
baseline_count_MA,244.4,keke,upward
baseline_count_MA,248.2,truck,upward
baseline_count_MA,251.2,keke,upward
baseline_count_MA,253,car,upward
baseline_count_MA,253.8,keke,upward
baseline_count_MA,254.8,car,upward
baseline_count_MA,254.8,keke,upward
baseline_count_MA,255.8,car,upward
baseline_count_MA,256.4,keke,upward
baseline_count_MA,257.4,keke,upward
baseline_count_MA,257.4,keke,upward
baseline_count_MA,258.2,keke,upward
baseline_count_MA,258.4,car,upward
baseline_count_MA,258.8,car,upward
baseline_count_MA,262.6,keke,upward
baseline_count_MA,264.8,keke,upward
baseline_count_MA,266.4,keke,upward
baseline_count_MA,267.2,keke,upward
baseline_count_MA,271.2,car,upward
baseline_count_MA,272.2,car,upward
baseline_count_MA,272.4,car,upward
baseline_count_MA,273.6,car,upward
baseline_count_MA,274.4,car,upward
baseline_count_MA,275.4,truck,upward
baseline_count_MA,279.6,car,upward
baseline_count_MA,282.6,keke,upward
baseline_count_MA,284,car,upward
baseline_count_MA,288.2,truck,upward
baseline_count_MA,290,keke,upward
baseline_count_MA,294,car,upward
baseline_count_MA,297.2,keke,upward
baseline_count_MA,299.2,car,upward
baseline_count_MA,300.4,car,upward
baseline_count_MA,301,keke,upward
baseline_count_MA,302.8,car,upward
baseline_count_MA,303.2,keke,upward
baseline_count_MA,304.6,keke,upward
baseline_count_MA,307.8,motorcycle,upward
baseline_count_MA,313.6,keke,upward
baseline_count_MA,319.6,keke,upward
baseline_count_MA,321.2,keke,upward
baseline_count_MA,323.4,keke,upward
baseline_count_MA,324.2,keke,upward
baseline_count_MA,325.2,keke,upward
baseline_count_MA,326.2,keke,upward
baseline_count_MA,326.6,keke,upward
baseline_count_MA,327.6,car,upward
baseline_count_MA,328.2,keke,upward
baseline_count_MA,328.4,car,upward
baseline_count_MA,329.4,keke,upward
baseline_count_MA,333,keke,upward
baseline_count_MA,336,keke,upward
baseline_count_MA,336.4,keke,upward
baseline_count_MA,338,car,upward
baseline_count_MA,339.6,keke,upward
baseline_count_MA,340.4,keke,upward
baseline_count_MA,341.4,keke,upward
baseline_count_MA,342.4,keke,upward
baseline_count_MA,342.4,keke,upward
baseline_count_MA,345.6,keke,upward
baseline_count_MA,346.4,car,upward
baseline_count_MA,350.4,car,upward
baseline_count_MA,357.2,keke,upward
baseline_count_MA,358.8,keke,upward
baseline_count_MA,358.8,keke,upward
baseline_count_MA,363.8,car,upward
baseline_count_MA,370.6,keke,upward
baseline_count_MA,372,keke,upward
baseline_count_MA,374.2,keke,upward
baseline_count_MA,374.4,truck,upward
baseline_count_MA,375.6,keke,upward
baseline_count_MA,376.4,car,upward
baseline_count_MA,377.2,keke,upward
baseline_count_MA,380.6,keke,upward
baseline_count_MA,381.4,truck,upward
baseline_count_MA,382.4,keke,upward
baseline_count_MA,384.2,keke,upward
baseline_count_MA,387,car,upward
baseline_count_MA,388.6,truck,upward
baseline_count_MA,390.6,car,upward
baseline_count_MA,391.6,keke,upward
baseline_count_MA,392.2,car,upward
baseline_count_MA,392.4,keke,upward
baseline_count_MA,392.6,car,upward
baseline_count_MA,393.4,keke,upward
baseline_count_MA,396.2,car,upward
baseline_count_MA,396.4,keke,upward
baseline_count_MA,402,keke,upward
baseline_count_MA,402.8,truck,upward
baseline_count_MA,403.6,keke,upward
baseline_count_MA,406.6,keke,upward
baseline_count_MA,409.4,car,upward
baseline_count_MA,410.6,car,upward
baseline_count_MA,411.8,keke,upward
baseline_count_MA,412.6,car,upward
baseline_count_MA,413.8,keke,upward
baseline_count_MA,415.4,car,upward
baseline_count_MA,416.2,keke,upward
baseline_count_MA,417.6,car,upward
baseline_count_MA,419.8,keke,upward
baseline_count_MA,420.8,keke,upward
baseline_count_MA,423.8,keke,upward
baseline_count_MA,424.6,keke,upward
baseline_count_MA,424.6,car,upward
baseline_count_MA,424.6,car,upward
baseline_count_MA,424.6,keke,upward
baseline_count_MA,427.6,keke,upward
baseline_count_MA,428.8,keke,upward
baseline_count_MA,432.4,keke,upward
baseline_count_MA,434,keke,upward
baseline_count_MA,434.4,keke,upward
baseline_count_MA,435,keke,upward
baseline_count_MA,435.8,keke,upward
baseline_count_MA,436.4,truck,upward
baseline_count_MA,436.4,keke,upward
baseline_count_MA,438.4,car,upward
baseline_count_MA,439,keke,upward
baseline_count_MA,440.4,car,upward
baseline_count_MA,443.2,keke,upward
baseline_count_MA,444.2,car,upward
baseline_count_MA,445.2,keke,upward
baseline_count_MA,446.6,keke,upward
baseline_count_MA,449.2,keke,upward
baseline_count_MA,453.6,truck,upward
baseline_count_MA,460.2,car,upward
baseline_count_MA,460.8,car,upward
baseline_count_MA,462.2,keke,upward
baseline_count_MA,462.8,keke,upward
baseline_count_MA,463.2,car,upward
baseline_count_MA,464.4,car,upward
baseline_count_MA,470.6,car,upward
baseline_count_MA,479,keke,upward
baseline_count_MA,484.2,keke,upward
baseline_count_MA,485.6,keke,upward
baseline_count_MA,486.8,keke,upward
baseline_count_MA,487.4,truck,upward
baseline_count_MA,488.4,keke,upward
baseline_count_MA,494.4,truck,upward
baseline_count_MA,497.8,keke,upward
baseline_count_MA,499.6,car,upward
baseline_count_MA,500,keke,upward
baseline_count_MA,500.6,keke,upward
baseline_count_MA,501.8,car,upward
baseline_count_MA,502,car,upward
baseline_count_MA,502.4,motorcycle,upward
baseline_count_MA,502.6,keke,upward
baseline_count_MA,504,car,upward
baseline_count_MA,504.8,keke,upward
baseline_count_MA,508,keke,upward
baseline_count_MA,509,keke,upward
baseline_count_MA,510.4,keke,upward
baseline_count_MA,511.8,car,upward
baseline_count_MA,512.6,motorcycle,upward
baseline_count_MA,513,keke,upward
baseline_count_MA,514.6,keke,upward
baseline_count_MA,514.8,keke,upward
baseline_count_MA,514.8,keke,upward
baseline_count_MA,516.2,keke,upward
baseline_count_MA,517.2,car,upward
baseline_count_MA,517.4,keke,upward
baseline_count_MA,521,keke,upward
baseline_count_MA,521,keke,upward
baseline_count_MA,522.4,keke,upward
baseline_count_MA,523,car,upward
baseline_count_MA,523.8,keke,upward
baseline_count_MA,525,car,upward
baseline_count_MA,526.8,truck,upward
baseline_count_MA,527.8,car,upward
baseline_count_MA,529.2,keke,upward
baseline_count_MA,529.4,keke,upward
baseline_count_MA,529.8,keke,upward
baseline_count_MA,530.8,keke,upward
baseline_count_MA,532.6,keke,upward
baseline_count_MA,533.2,keke,upward
baseline_count_MA,534.4,keke,upward
baseline_count_MA,535.6,keke,upward
baseline_count_MA,536.6,keke,upward
baseline_count_MA,537.4,car,upward
baseline_count_MA,546.8,keke,upward
baseline_count_MA,547.6,car,upward
baseline_count_MA,548,keke,upward
baseline_count_MA,549.6,keke,upward
baseline_count_MA,549.6,keke,upward
baseline_count_MA,552.2,keke,upward
baseline_count_MA,556.2,keke,upward
baseline_count_MA,559.2,keke,upward
baseline_count_MA,559.2,keke,upward
baseline_count_MA,565,keke,upward
baseline_count_MA,566,keke,upward
baseline_count_MA,566,keke,upward
baseline_count_MA,567,keke,upward
baseline_count_MA,567.6,car,upward
baseline_count_MA,574.8,keke,upward
baseline_count_MA,574.8,keke,upward
baseline_count_MA,576.6,car,upward
baseline_count_MA,577.4,keke,upward
baseline_count_MA,578.2,keke,upward
baseline_count_MA,580.6,car,upward
baseline_count_MA,582.6,keke,upward
baseline_count_MA,583.4,keke,upward
baseline_count_MA,586.8,keke,upward
baseline_count_MA,588,keke,upward
baseline_count_MA,588.8,keke,upward
baseline_count_MA,600,car,upward
